Year,Topic groups,Topic categories 1,Topic categories 2,Topic categories 3,Suppression,Total,County totals
2015,Contraceptive use and living children by age of patient,Ages 40-44,Unknown contraception use,No children,,2,
2015,Contraceptive use and living children by age of patient,Ages 45+,Condom/prophylactic,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Contraceptive ring,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Emergency contraception,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Multiple forms,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,No contraception use,No children,,5,
2015,Contraceptive use and living children by age of patient,Ages 45+,Oral contraception,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Other contraception,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Rhythm method,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Unknown contraception use,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Condom/prophylactic,No children,,2,
2015,Contraceptive use and living children by age of patient,Ages <15,Contraceptive ring,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Emergency contraception,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Multiple forms,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,No contraception use,No children,,19,
2015,Contraceptive use and living children by age of patient,Ages <15,Oral contraception,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Other contraception,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Rhythm method,No children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Unknown contraception use,No children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Condom/prophylactic,One child,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Contraceptive ring,One child,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Emergency contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Multiple forms,One child,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,No contraception use,One child,,1,
2015,Contraceptive use and living children by age of patient,Age unknown,Oral contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Other contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Rhythm method,One child,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Unknown contraception use,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Condom/prophylactic,One child,,12,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Contraceptive ring,One child,,2,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Emergency contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Multiple forms,One child,,1,
2015,Contraceptive use and living children by age of patient,Ages 15-19,No contraception use,One child,,92,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Oral contraception,One child,,6,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Other contraception,One child,,8,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Rhythm method,One child,,1,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Unknown contraception use,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Condom/prophylactic,One child,,61,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Contraceptive ring,One child,,11,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Emergency contraception,One child,,5,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Multiple forms,One child,,5,
2015,Contraceptive use and living children by age of patient,Ages 20-24,No contraception use,One child,,447,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Oral contraception,One child,,56,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Other contraception,One child,,41,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Rhythm method,One child,,1,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Unknown contraception use,One child,,30,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Condom/prophylactic,One child,,59,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Contraceptive ring,One child,,7,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Emergency contraception,One child,,7,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Multiple forms,One child,,7,
2015,Contraceptive use and living children by age of patient,Ages 25-29,No contraception use,One child,,349,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Oral contraception,One child,,49,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Other contraception,One child,,25,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Rhythm method,One child,,5,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Unknown contraception use,One child,,25,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Condom/prophylactic,One child,,52,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Contraceptive ring,One child,,6,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Emergency contraception,One child,,4,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Multiple forms,One child,,4,
2015,Contraceptive use and living children by age of patient,Ages 30-34,No contraception use,One child,,215,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Oral contraception,One child,,28,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Other contraception,One child,,18,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Rhythm method,One child,,6,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Unknown contraception use,One child,,28,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Condom/prophylactic,One child,,31,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Contraceptive ring,One child,,2,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Emergency contraception,One child,,3,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Multiple forms,One child,,2,
2015,Contraceptive use and living children by age of patient,Ages 35-39,No contraception use,One child,,117,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Oral contraception,One child,,16,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Other contraception,One child,,8,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Rhythm method,One child,,4,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Unknown contraception use,One child,,7,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Condom/prophylactic,One child,,12,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Contraceptive ring,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Emergency contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Multiple forms,One child,,1,
2015,Contraceptive use and living children by age of patient,Ages 40-44,No contraception use,One child,,44,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Oral contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Other contraception,One child,,9,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Rhythm method,One child,,6,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Unknown contraception use,One child,,10,
2015,Contraceptive use and living children by age of patient,Ages 45+,Condom/prophylactic,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Contraceptive ring,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Emergency contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Multiple forms,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,No contraception use,One child,,5,
2015,Contraceptive use and living children by age of patient,Ages 45+,Oral contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Other contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Rhythm method,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Unknown contraception use,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Condom/prophylactic,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Contraceptive ring,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Emergency contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Multiple forms,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,No contraception use,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Oral contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Other contraception,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Rhythm method,One child,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Unknown contraception use,One child,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Condom/prophylactic,Three children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Contraceptive ring,Three children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Emergency contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Multiple forms,Three children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,No contraception use,Three children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Oral contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Other contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Rhythm method,Three children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Unknown contraception use,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Condom/prophylactic,Three children,,2,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Contraceptive ring,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Emergency contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Multiple forms,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,No contraception use,Three children,,2,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Oral contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Other contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Rhythm method,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Unknown contraception use,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Condom/prophylactic,Three children,,4,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Contraceptive ring,Three children,,2,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Emergency contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Multiple forms,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,No contraception use,Three children,,42,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Oral contraception,Three children,,4,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Other contraception,Three children,,8,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Rhythm method,Three children,,1,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Unknown contraception use,Three children,,3,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Condom/prophylactic,Three children,,20,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Contraceptive ring,Three children,,5,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Emergency contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Multiple forms,Three children,,2,
2015,Contraceptive use and living children by age of patient,Ages 25-29,No contraception use,Three children,,116,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Oral contraception,Three children,,18,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Other contraception,Three children,,6,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Rhythm method,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Unknown contraception use,Three children,,10,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Condom/prophylactic,Three children,,22,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Contraceptive ring,Three children,,4,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Emergency contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Multiple forms,Three children,,6,
2015,Contraceptive use and living children by age of patient,Ages 30-34,No contraception use,Three children,,116,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Oral contraception,Three children,,19,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Other contraception,Three children,,12,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Rhythm method,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Unknown contraception use,Three children,,13,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Condom/prophylactic,Three children,,16,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Contraceptive ring,Three children,,2,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Emergency contraception,Three children,,2,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Multiple forms,Three children,,3,
2015,Contraceptive use and living children by age of patient,Ages 35-39,No contraception use,Three children,,60,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Oral contraception,Three children,,11,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Other contraception,Three children,,6,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Rhythm method,Three children,,3,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Unknown contraception use,Three children,,12,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Condom/prophylactic,Three children,,12,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Contraceptive ring,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Emergency contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Multiple forms,Three children,,1,
2015,Contraceptive use and living children by age of patient,Ages 40-44,No contraception use,Three children,,33,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Oral contraception,Three children,,5,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Other contraception,Three children,,5,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Rhythm method,Three children,,1,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Unknown contraception use,Three children,,3,
2015,Contraceptive use and living children by age of patient,Ages 45+,Condom/prophylactic,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Contraceptive ring,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Emergency contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Multiple forms,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,No contraception use,Three children,,4,
2015,Contraceptive use and living children by age of patient,Ages 45+,Oral contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Other contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Rhythm method,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Unknown contraception use,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Condom/prophylactic,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Contraceptive ring,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Emergency contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Multiple forms,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,No contraception use,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Oral contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Other contraception,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Rhythm method,Three children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Unknown contraception use,Three children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Condom/prophylactic,Two children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Contraceptive ring,Two children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Emergency contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Multiple forms,Two children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,No contraception use,Two children,,1,
2015,Contraceptive use and living children by age of patient,Age unknown,Oral contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Other contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Rhythm method,Two children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Unknown contraception use,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Condom/prophylactic,Two children,,1,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Contraceptive ring,Two children,,1,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Emergency contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Multiple forms,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,No contraception use,Two children,,12,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Oral contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Other contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Rhythm method,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Unknown contraception use,Two children,,1,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Condom/prophylactic,Two children,,30,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Contraceptive ring,Two children,,3,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Emergency contraception,Two children,,1,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Multiple forms,Two children,,4,
2015,Contraceptive use and living children by age of patient,Ages 20-24,No contraception use,Two children,,184,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Oral contraception,Two children,,12,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Other contraception,Two children,,16,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Rhythm method,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Unknown contraception use,Two children,,14,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Condom/prophylactic,Two children,,39,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Contraceptive ring,Two children,,8,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Emergency contraception,Two children,,5,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Multiple forms,Two children,,6,
2015,Contraceptive use and living children by age of patient,Ages 25-29,No contraception use,Two children,,303,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Oral contraception,Two children,,40,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Other contraception,Two children,,34,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Rhythm method,Two children,,4,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Unknown contraception use,Two children,,23,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Condom/prophylactic,Two children,,35,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Contraceptive ring,Two children,,7,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Emergency contraception,Two children,,2,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Multiple forms,Two children,,7,
2015,Contraceptive use and living children by age of patient,Ages 30-34,No contraception use,Two children,,241,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Oral contraception,Two children,,30,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Other contraception,Two children,,20,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Rhythm method,Two children,,4,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Unknown contraception use,Two children,,21,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Condom/prophylactic,Two children,,37,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Contraceptive ring,Two children,,5,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Emergency contraception,Two children,,1,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Multiple forms,Two children,,6,
2015,Contraceptive use and living children by age of patient,Ages 35-39,No contraception use,Two children,,151,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Oral contraception,Two children,,14,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Other contraception,Two children,,14,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Rhythm method,Two children,,3,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Unknown contraception use,Two children,,12,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Condom/prophylactic,Two children,,8,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Contraceptive ring,Two children,,2,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Emergency contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Multiple forms,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,No contraception use,Two children,,57,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Oral contraception,Two children,,2,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Other contraception,Two children,,4,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Rhythm method,Two children,,1,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Unknown contraception use,Two children,,2,
2015,Contraceptive use and living children by age of patient,Ages 45+,Condom/prophylactic,Two children,,3,
2015,Contraceptive use and living children by age of patient,Ages 45+,Contraceptive ring,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Emergency contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Multiple forms,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,No contraception use,Two children,,5,
2015,Contraceptive use and living children by age of patient,Ages 45+,Oral contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Other contraception,Two children,,1,
2015,Contraceptive use and living children by age of patient,Ages 45+,Rhythm method,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Unknown contraception use,Two children,,1,
2015,Contraceptive use and living children by age of patient,Ages <15,Condom/prophylactic,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Contraceptive ring,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Emergency contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Multiple forms,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,No contraception use,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Oral contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Other contraception,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Rhythm method,Two children,,0,
2015,Contraceptive use and living children by age of patient,Ages <15,Unknown contraception use,Two children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Condom/prophylactic,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Contraceptive ring,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Emergency contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Multiple forms,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,No contraception use,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Oral contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Other contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Rhythm method,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Age unknown,Unknown contraception use,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Condom/prophylactic,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Contraceptive ring,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Emergency contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Multiple forms,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,No contraception use,Unknown children,,3,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Oral contraception,Unknown children,,2,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Other contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Rhythm method,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 15-19,Unknown contraception use,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Condom/prophylactic,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Contraceptive ring,Unknown children,,1,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Emergency contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Multiple forms,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,No contraception use,Unknown children,,9,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Oral contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Other contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Rhythm method,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 20-24,Unknown contraception use,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Condom/prophylactic,Unknown children,,2,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Contraceptive ring,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Emergency contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Multiple forms,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 25-29,No contraception use,Unknown children,,7,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Oral contraception,Unknown children,,1,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Other contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Rhythm method,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 25-29,Unknown contraception use,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Condom/prophylactic,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Contraceptive ring,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Emergency contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Multiple forms,Unknown children,,1,
2015,Contraceptive use and living children by age of patient,Ages 30-34,No contraception use,Unknown children,,4,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Oral contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Other contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Rhythm method,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 30-34,Unknown contraception use,Unknown children,,1,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Condom/prophylactic,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Contraceptive ring,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Emergency contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Multiple forms,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 35-39,No contraception use,Unknown children,,4,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Oral contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Other contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Rhythm method,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 35-39,Unknown contraception use,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Condom/prophylactic,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Contraceptive ring,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Emergency contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Multiple forms,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,No contraception use,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Oral contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Other contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Rhythm method,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 40-44,Unknown contraception use,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Condom/prophylactic,Unknown children,,1,
2015,Contraceptive use and living children by age of patient,Ages 45+,Contraceptive ring,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Emergency contraception,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,Multiple forms,Unknown children,,0,
2015,Contraceptive use and living children by age of patient,Ages 45+,No contraception use,Unknown children,,0,
